前进 | 前进
向左转的反方向 | 右转
不要前进 | 无操作
别左转了 | 无操作
Move forward | 前进
向后退 | 后退
右转 | 右转
倒车 | 后退
Stop moving | 无操作
Left turn reversed | 右转
前进 | 前进
向左转的反方向 | 右转
不要前进 | 无操作
别左转了 | 无操作
Move forward | 前进
向后退 | 后退
右转 | 右转
倒车 | 后退
Stop moving | 无操作
Left turn reversed | 右转
往前走 | 前进
右转的反方向 | 左转
继续前进 | 前进
后退一点 | 后退
左转 | 左转
别动了 | 无操作
继续后退 | 后退
Move backward | 后退
Don’t move forward | 无操作
Turn left but reverse direction | 右转
Reverse the car | 后退
Don’t move backward | 无操作
Move right | 右转
向后退一点 | 后退
不要倒车 | 无操作
Stop the car | 无操作
前进一点 | 前进
右边走 | 右转
Move ahead | 前进
向前进 | 前进
别再前进了 | 无操作
如果能停止，请停下来 | 无操作
请向后退 | 后退
右转的反方向 | 左转
Move the car forward slightly | 前进
不要继续前进 | 无操作
Turn left but in the opposite way | 右转
别倒车了 | 无操作
Can you reverse the car? | 后退
Move forward and stop immediately | 无操作
右转一点 | 右转
If possible, move backward | 后退
Please don’t turn left | 无操作
Don’t move forward, please stop | 无操作
Turn left at once but the opposite way | 右转
前进一点点 | 前进
请向右转 | 右转
别动了，停下 | 无操作
Move forward a little | 前进
不要前进，只要停下来 | 无操作
向右转并停下来 | 无操作
向左转的反方向，马上 | 右转
请立即后退 | 后退
Reverse, but slowly please | 后退
让车停在这儿，不要动 | 无操作
左转的反方向，不要犹豫 | 右转
请继续前进，但不要太快 | 前进
Turn right now, but gently | 右转
请停止前进，并保持静止 | 无操作
向后走一点点 | 后退
右转并轻轻停车 | 无操作
向前推进，但稍微慢一点 | 前进
Please stop and don’t move again | 无操作
Move backward gently | 后退
先右转，然后马上停下来 | 无操作
别往前进了，停下来 | 无操作
Please reverse and stop at once | 后退
Move forward, but keep it slow | 前进
向后退，但是非常缓慢 | 后退
别动了，马上停止 | 无操作
向左转一点点 | 左转
请停车，之后继续前进 | 前进
Move the car forward but only slightly | 前进
Turn right but don’t go too fast | 右转
向右转，但慢一点 | 右转
Please reverse, but don’t rush | 后退
Move forward until I stop you | 无操作
别再倒车了，停车 | 无操作
请向后退一点，别动太快 | 后退
向前进，但保持慢速 | 前进
别再右转了，停下来 | 无操作
向左转反方向，但要小心 | 右转
立即停下来，别再前进 | 无操作
Please move backward slowly | 后退
别动了，车停下 | 无操作
左转并稍微停顿 | 无操作
请立刻向后退，别再动了 | 后退
请向前进，但不要急 | 前进
Move forward, but stop when I say so | 无操作
Please stop, then move backward | 后退
Right turn, but don’t rush | 右转
Move forward until I tell you to stop | 无操作
向前进一点，但保持平稳 | 前进
请向后退，速度不要太快 | 后退
别再倒车了，请停下来 | 无操作
向右转并减速 | 右转
别倒车了，马上停车 | 无操作
向左转的反方向，请现在转 | 右转
Move forward and stop when I ask you to | 无操作
请稍微倒车并停下 | 后退
别转了，停下 | 无操作
向后走，但慢一点 | 后退
Please turn right, but not too sharply | 右转
左转并减速 | 左转
Don’t move forward, please stop now | 无操作
Please reverse and stop at the corner | 后退
Move forward slowly, but stop immediately | 无操作
别倒车了，车停在这儿 | 无操作
向前进，保持速度适中 | 前进
向后退，并且保持慢速 | 后退
请不要继续前进，马上停下来 | 无操作
Move forward but not too fast | 前进
右转之后马上停下 | 无操作
向左转的反方向，马上开始 | 右转
请保持车速慢一些，稍微前进 | 前进
别再往前走了，停下车 | 无操作
Reverse the car, but do it slowly | 后退
请慢慢地向右转 | 右转
向后退一点，但不要太快 | 后退
别倒车了，车停在这里 | 无操作
右转的反方向，尽量保持平稳 | 左转
向左转反方向，立即开始 | 右转
Move forward but stop when I say so | 无操作
请稍微向右转，保持稳定 | 右转
Turn left in the opposite direction, gently | 右转
前进一点点，并保持当前速度 | 前进
向后退并稍微停车 | 后退
别动了，车停在原地 | 无操作
向右转并快速停车 | 无操作
Move backward and stop | 后退
向前进，速度稍微减慢 | 前进
请倒车，但保持平稳 | 后退
Please move forward but don’t go too fast | 前进
停下车，然后向后退 | 后退
Move the car forward, but slowly | 前进
请先右转，然后停下来 | 无操作
向左转的反方向，现在开始 | 右转
请缓慢右转，保持稳定 | 右转
Move forward and stop as soon as possible | 无操作
请不要再左转了 | 无操作
Reverse the car now, but not too fast | 后退
向右转，但请放慢速度 | 右转
请先停下来，再向后退 | 后退
Move forward slightly but stop after a bit | 无操作
向左转的反方向，请立即执行 | 右转
Please stop the car now, then move forward | 前进
向后退，车速放慢 | 后退
别再右转了，保持静止 | 无操作
Stop now and don’t move forward | 无操作
Move forward but not too fast, please | 前进
Right turn, but make it a gentle one | 右转
请稍微向后退，控制好速度 | 后退
向前进，速度保持适中 | 前进
